Model,Question,Reference_Answer,Generated_Answer,BLEU,ROUGE-L,BERTScore_F1,Judge_Factual (1-10),Judge_Format (1-10),Generation_Time(s)
lora_deepbac_model_DeepSeek,ما هي أهم القطاعات الاقتصادية في الجزائر؟,القطاعات: النفط والغاز، الزراعة، الصناعة، والخدمات.,القطاعات: التكنولوجيا والصناعة، الزراعة، التعليم، السياحة.,0.0,0.0,0.9124,3.5,9.0,1.88
lora_deepbac_model_DeepSeek,حدد تاريخ هجوم جيش التحرير الوطني على الشمال القسنطيني,31/11/1955,30/09/1964,0.0,0.0,0.9147,1.0,9.0,1.02
lora_deepbac_model_DeepSeek,ما هي أهداف منظمة الأمم المتحدة؟,أهداف منظمة الأمم المتحدة تشمل: الحفاظ على السلم والأمن الدوليين، تنمية العلاقات الودية بين الأمم، تحقيق التعاون الدولي في حل المشكلات الاقتصادية والاجتماعية والثقافية والإنسانية، وتعزيز احترام حقوق الإنسان.,الأهداف: تنسيق العلاقات الدولية، وتعزيز التعاون بين الدول، وتقديم حلول عامة للحرب الباردة، وحماية الصحة العامة، وتسهيل الحركة التجارية بين الدول.,0.0,0.0,0.7931,4.0,9.0,3.3
lora_deepbac_model_DeepSeek,اشرح مصطلح: الثورة الزراعية.,الثورة الزراعية هي تحول جذري في أساليب الزراعة والإنتاج الغذائي، بدأت في بريطانيا في القرن الثامن عشر، وتميزت بإدخال تقنيات جديدة مثل دورة المحاصيل والميكنة، مما أدى إلى زيادة الإنتاجية ودعم الثورة الصناعية.,الثورة الزراعية هي حركة ظهرت في القرن التاسع عشر في أوروبا، تهدف إلى تحسين شروط العمل وزيادة الربح للstime�ات الزراعيين، وذلك عبر التدخل السياسي والاقتصادي في الحضارات الأوروبية.,0.0,0.0,0.7649,2.0,5.0,4.17
lora_deepbac_model_DeepSeek,اشرح ما تحته خط في النص: التكامل الاقتصادي الأوربي,التكامل الاقتصادي الأوروبي هو عملية اندماج اقتصادي بين دول أوروبا الغربية، بدأت بإنشاء الجماعة الأوروبية للفحم والصلب (1951)، ثم السوق الأوروبية المشتركة (1957)، وصولاً إلى الاتحاد الأوروبي، بهدف تحقيق التبادل الحر، وتوحيد السياسات الاقتصادية، وزيادة التنافسية.,التكامل الاقتصادي الأorبي هو تحويل كل المعولمة إلى وحدة واحدة تتميز بحرية اقتصادية Great integration is to make all products and services traded as a single unit with great freedom in the EU market.,0.0,0.0,0.6718,2.5,2.0,3.03
lora_deepbac_model_DeepSeek,ما هي أسباب اندلاع الحرب العالمية الأولى؟,الأسباب: التنافس الاستعماري، السباق نحو التسلح، الأزمات الدبلوماسية، وتشكيل الأحلاف العسكرية (الوفاق الثلاثي والتحالف الثلاثي)، بالإضافة إلى اغتيال ولي عهد النمسا.,الأسباب: العولمة الاقتصادية (التنافس)، الأزمة الديونية، امتلاك القوى الثالثة (الهيئة الكوبية والدول المتقدمة) لسوق التبادل التجاري، سياسة عهد النمسا للدفاع عن الحلفاء، وانتشار الشيوعية في أوروبا.,0.0,0.0,0.7758,1.5,2.5,4.88
lora_deepbac_model_DeepSeek,اشرح مصطلح: منظمة التجارة العالمية.,منظمة عالمية تجارية تأسست في المغرب عام 1995 على أنقاض اتفاقية الغات، مقرها جنيف سويسرا، تهدف إلى تنظيم العلاقات التجارية وتدعو إلى تحرير التجارة العالمية.,منظمة التجارية عالمية تهدف إلى تحسين التجارة العالمية، وتعمل على تنسيق العلاقات التجارية بين الدول، وتساعد على تحقيق التنمية الشاملة للدول المتقدمة من خلال شراكات التجارة (مثل: اتفاقية الاحتواء 1957).,0.0,0.0,0.7654,3.0,5.0,3.57
lora_deepbac_model_DeepSeek,ما هو تاريخ مظاهرات شعبية في الجزائر ضد الاستعمار الفرنسي؟,11/12/1960,30/11/1957 (أكتوبر 1964),0.0,0.2857,0.8199,1.0,1.0,1.66
lora_deepbac_model_DeepSeek,اشرح ما تحته خط في النص: هيئة الأمم المتحدة,تنظيم دولي يضم جميع الدول المستقلة تأسس في 31/01/1945 بغرض الحفاظ على السلم والأمن العالميين وتنظيم العلاقات الدولية، مقره نيويورك.,منظمة دولية عالمية تأسس عام 1945 بعد الحرب العالمية الثانية، تهدف إلى الحفاظ على التوافق الدولي وتعزيز التعاون بين الدول الأعضاء، وإنشاء إطار法治ي للدعم الوطني والدفاع ضد الانتهاكات.,0.0,0.5,0.7628,6.5,8.0,3.76
lora_deepbac_model_DeepSeek,اشرح مفهوم القومية العربية.,القومية العربية هي أيديولوجية تهدف إلى توحيد الشعوب العربية في دولة واحدة أو كيان سياسي موحد، بناءً على اللغة والثقافة والتاريخ المشترك، وقد برزت في القرن التاسع عشر وازدهرت في القرن العشرين.,الرسمi踮ت مؤتمر الشعب الجزائري للحد من التوتر وتوحيد الشعب الجزائري في 06/05/1957.,0.0,0.0,0.6618,1.0,1.0,2.39
lora_deepbac_model_DeepSeek,ما هي أهم الإصلاحات الأمنية في الجزائر؟,الإصلاحات: تعزيز الأمن، مكافحة الإرهاب، وتحسين الاستقرار.,الإصلاحات: تطوير الأمن الأمني، تعزيز السيادة العسكرية، وتعزيز التخطيط الاستراتيجي.,0.0,0.0,0.8766,3.0,9.0,2.28
lora_deepbac_model_DeepSeek,اشرح ما تحته خط في النص: الطاقة,الموارد الطبيعية (المحروقات) المحركة للعمليات الإنتاجية وتنقسم إلى قسمين: طاقة متجددة مثل الماء والشمس والرياح، وطاقة غير متجددة مثل البترول والغاز الطبيعي وهي المحرك الأساسي للاقتصاد العالمي.,الطاقة هي 能源، وتعني الأنشطة العادلة التي يمكن أن نaryها للثقافة والاقتصاد...,0.0,0.0,0.6867,1.0,2.0,1.99
lora_deepbac_model_DeepSeek,اشرح مصطلح: التجارة الدولية.,المبادلات (الصادرات والواردات) التي تتم بين دولتين أو مجموعة من الدول وتنظمها الاتفاقيات والمعاهدات.,التجارة العالمية التي تتبعها دول العالم، والتي تعتمد على التبادل التجاري (السلع والأموال) بينهما...,0.0,0.0,0.7452,6.0,5.5,2.23
lora_deepbac_model_DeepSeek,ما هي أهم الإصلاحات الاجتماعية في الجزائر؟,الإصلاحات: تحسين مستوى المعيشة، دعم الفئات الهشة، وتعزيز التضامن.,الإصلاحات: دعم التباين، تحسين التعليم، وتعزيز المشاركة.,0.0,0.0,0.889,2.0,9.0,1.56
lora_deepbac_model_DeepSeek,ما هي أهم التحديات التي واجهت الجزائر بعد الاستقلال؟,التحديات: بناء المؤسسات، التنمية الاقتصادية، الوحدة الوطنية، ومكافحة الفساد.,التحديات: اليد العاملة، الهجرة، التفاوت بين المعسكرين.,0.0,0.0,0.8179,2.0,8.0,1.63
lora_deepbac_model_DeepSeek,اشرح مصطلح الأحلاف العسكرية.,تكتلات عسكرية ظهرت مع اشتداد الحرب الباردة وهي استراتيجية تبناها المعسكران الشرقي والغربي في إطار الحرب الباردة وتقوم على مبدأ الدفاع المشترك مثل حلف شمال الأطلسي وحلف وارسو.,الأحلاف التجارية: هي الأحلاقيات التي تهدف إلى دعم القوتين المتصارعين في حرب التحرير الوطني (مثل 1954-1962) وتعتمد على سياسة رفض التكتلات، وقد ت Noticed في إيطاليا عام 1870. أمثلتها: حلف الأممالي الفرنسي (1863-1880)، حلف عهدalive (1935-1781).,0.0,0.0,0.7097,1.0,2.0,6.4
lora_deepbac_model_DeepSeek,اشرح مصطلح الدول المتخلفة.,الدول المتخلفة: تسمية تطلق على الدول المستقلة حديثا من إفريقيا وآسيا وأمريكا اللاتينية والتي تعاني من التخلف الاقتصادي والتأخر الاجتماعي والثقافي وضعف التحكم في التكنولوجيا.,الدول المتخالفة: هي دول تقع في مناطق مختلفة في العالم وتنقسم إلى دولاً عسكرياً واقتصادياً وثقافياً وتتميز بانقسام الأيديولوجيا بين المعسكر الشرقي (الأوبيك) والمعسكر الغربي (الأمريكي) والاتحاد السوفياتي، مما يؤدي إلى تكوين قوتين orMore قوية وحيدة.,0.0,0.0,0.7132,1.5,3.0,5.87
lora_deepbac_model_DeepSeek,اشرح ما تحته خط في النص: الاستقلال الوطني,الاستقلال الوطني هو الهدف النهائي للثورة الجزائرية، ويعني تحرير الجزائر من الاستعمار الفرنسي، واستعادة السيادة الكاملة على أراضيها ومواردها، وإقامة دولة جزائرية مستقلة ذات سيادة، وقد تحقق في 5 يوليو 1962.,الاستقلال الجزائري من نفوذ القوى الفرنسية في مختلف القطاعات، استعادة السيادة الوطنية على自 hot 0.,0.0,0.0,0.7387,2.0,1.0,2.19
lora_deepbac_model_DeepSeek,اشرح ما تحته خط في النص: جيش التحرير الوطني,جيش التحرير الوطني هو الجناح العسكري لجبهة التحرير الوطني الجزائرية، الذي تشكل خلال ثورة التحرير الجزائرية (1954-1962)، وكان مسؤولاً عن العمليات العسكرية ضد الاستعمار الفرنسي، وتم تنظيمه وتقسيمه إلى ولايات خلال مؤتمر الصومام.,الجيش التحديدي للشعب الجزائري (جيش الـ 20)成立于1954، هو أكبر جيش وطني في العالم، رداً على استقلال الجزائر في إطار الثورة التحررية، وتعتبر أول جيش عسكري قادم عليه جيش الشعب الجزائري.,0.0,0.5,0.7412,2.0,2.0,3.69
lora_deepbac_model_DeepSeek,اشرح المصطلحات التالية: حركة عدم الانحياز، سياسة الاحتواء، حلف وارسو.,حركة عدم الانحياز: تيار سياسي ظهر خلال الحرب الباردة، يضم دولًا رفضت الانحياز لأي من المعسكرين الشرقي بقيادة الاتحاد السوفيتي والغربي بقيادة الولايات المتحدة. سياسة الاحتواء: استراتيجية أمريكية تهدف إلى منع انتشار الشيوعية خارج حدودها. حلف وارسو: حلف عسكري تأسس عام 1955 بقيادة الاتحاد السوفيتي، كرد فعل على حلف الناتو.,حركة عدم الانهايةز: هي حركات عسكرية عسكورية عصرية هدفت على الحفاظ على الاستقلال والتحرير. سياسات الاحتفالية: هي سياسية تعتمد على استعمال الموارد والاستثمارات في البلدان الأوروبية لمساعدة الدول النامية على تحقيق التنمية. حلف عسكري: هو معاهدة عسكرית تهدف إلى تخفيف التوتر بين دول تابعة للحلف.,0.0,0.0,0.7485,1.0,3.0,6.48
lora_deepbac_model_DeepSeek,عرف بالشخصية: أحمد سوكارنو,1931-1973، رئيس أندونيسيا (1945/1967)، ترأس مؤتمر باندونغ الذي احتضنه بلده عام 1955 للمتضامن الأفروآسيوي، أحد مؤسسي حركة عدم الانحياز.,أحمد سوكراو نشط في الثورة التحريرية الجزائرية (1954-1960) كرئيس جدارية ورئيس حركة عدم الانحياز، أحد زعماء حركة التحرر الوطني للجزائر، صاحب مبدأ سوكраو الذي يقترح أن ينافس الانتصار على الحلفاء في إطار التفاوض مع الاستعماريين، رفض اتفاقية إيفيان عام 1983، عضو لجنة التحرр الوطنية للجزارت (17/03/1975 - 17-03-1875).,0.0,0.0,0.721,1.0,2.0,8.62
lora_deepbac_model_DeepSeek,ما هي أهم الإصلاحات البيئية في الجزائر؟,الإصلاحات: حماية البيئة، مكافحة التلوث، وتعزيز التنمية المستدامة.,الإصلاحات: حماية الأراضي، تعزيز التصحر، وتعزيز إدارة المياه.,0.0,0.0,0.88,3.0,9.0,1.83
lora_deepbac_model_DeepSeek,ما هي أهم المحطات التاريخية في الثورة الجزائرية؟,المحطات: اندلاع الثورة في 1 نوفمبر 1954، مؤتمر الصومام 1956، معركة الجزائر 1957، إضراب الثمانية أيام 1957، واتفاقيات إيفيان 1962.,الحروk (الحركة التحريرية) - حلف القطب الاستعماري (القائد الوطني) - قسنطينة التحرر الوطني للثورة الجزيرية (الشعب الجزائري) - جبهة التحرр الوطني للشراكة الثالثة (المنظمة الجمركية),0.0,0.0,0.6728,1.0,4.0,4.08
lora_deepbac_model_DeepSeek,اشرح مصطلح: حلف شمال الأطلسي (الناتو),حلف شمال الأطلسي (الناتو) هو تحالف عسكري غربي تأسس عام 1949 بموجب معاهدة واشنطن، يضم الولايات المتحدة وكندا ودول أوروبا الغربية، ويهدف إلى الدفاع الجماعي ضد أي هجوم مسلح على أي من أعضائه، وكان مواجهاً للمعسكر الشيوعي بقيادة الاتحاد السوفيتي.,"حلف شمال أطلسي هو تحالف عسكري تأسس عام 1949 بقيادة الاتحاد السوفيتي، يضم دول أوربا الشرقية الشيوعية، ويهدف إلى الحافز على التفاوض مع الثورة الغربية وتنافر معها في مجالarms,-info,tics.",0.0,0.4,0.7852,2.0,3.0,3.65
lora_deepbac_model_DeepSeek,ما هي أهم الإصلاحات الضريبية في الجزائر؟,الإصلاحات: تحسين النظام الضريبي، مكافحة التهرب، وزيادة العدالة.,الإصلاحات: تحسين النظام الضريبي، مكافحة التهرب، وزيادة�ود الدخل.,0.6606,0.0,0.9637,7.5,9.0,2.01
lora_deepbac_model_DeepSeek,أكمل الجدول: الحدث وتاريخه: إعلان مبدأ ترومان,12/03/1947,الحدث: إUrlAnявление مبدأ التحرر الوطني في 1947 في كندا.,0.0,0.4,0.6109,2.5,2.0,1.05
lora_deepbac_model_DeepSeek,ما هي أهم الإنجازات الاقتصادية في الجزائر؟,الإنجازات: تطوير قطاع النفط والغاز، بناء البنية التحتية، وتحسين مستوى المعيشة.,الإنجازات: تزايد الإنتاج الاقتصادي، دورة رأسمالية، تحسين اليد العاملة، وزيادة الإيرادات.,0.0,0.0,0.8333,6.0,9.0,2.28
lora_deepbac_model_DeepSeek,ما هي أهم الإصلاحات الرياضية في الجزائر؟,الإصلاحات: دعم الرياضة، تطوير البنية التحتية، وتحسين الأداء.,الإصلاحات: تعزيز التدريب، استعادة القيمة教育ية، وتطوير المناهج.,0.0,0.0,0.8483,3.0,9.0,1.84
lora_deepbac_model_DeepSeek,اشرح مصطلح: القطبية الثنائية,القطبية الثنائية هي نظام دولي ظهر بعد الحرب العالمية الثانية، يتميز بوجود قوتين عظميين هما الولايات المتحدة والاتحاد السوفيتي، حيث انقسم العالم إلى معسكرين متعارضين أيديولوجياً وسياسياً وعسكرياً، مع هيمنة هاتين القوتين على العلاقات الدولية.,القطبية الثنائية هي نظام دولي ظهر بعد الحرب العالمية الثانية، ويعتبر تحول من النظام الشيوعي إلى النظام الاستعماري، ويتميز بانقسام العالم إلى مؤسسين متنافسين: المؤسس بالقوة الأوروبية (الولايات المتحدة الأمريكية) والمquine الوطني (الاتحاد السوفيتي)، وقد تؤدي إلى انهاوض مناطق العالم الثالث والانقسام إلى مناطع شرق شرق آسيا وأوبيكسل.,0.1833,0.0,0.7701,3.0,3.0,6.88
lora_deepbac_model_DeepSeek,ما هي أهم الإصلاحات الإدارية في الجزائر؟,الإصلاحات: تحديث الإدارة، مكافحة البيروقراطية، وتحسين الخدمات العامة.,الإصلاحات: تحسين إدارة القضايا، تعزيز الكفاءة، وتطوير البنية التحتية.,0.0,0.0,0.8597,4.0,9.5,2.13
lora_deepbac_model_DeepSeek,اشرح مصطلح 'حركات التحرر'.,حركات التحرر: رد فعل شعوب المستعمرات في كل من إفريقيا وآسيا وأمريكا اللاتينية على الوجود الاستعماري، اتخذت أشكالاً متعددة سياسية وعسكرية، تهدف إلى الاستقلال واسترجاع السيادة الوطنية.,حركة تكتل وتعاون الشباب الوطنيين للدفاع عن الحصر الاستعماري والتحرير، بعد وقف الثورة الجزائرية عام 1954، وتعتبر حركة عظمى في المغرب و.one في العالم، وتساهم في إنشاء دول جديدة و/or مصالح الشعب.,0.0,0.0,0.7101,1.5,2.0,4.31
lora_deepbac_model_DeepSeek,اكتب مقالا تاريخيا تبين فيه رد فعل الثورة الجزائرية على هذه الإجراءات.,رد فعل الثورة الجزائرية على هذه الإجراءات: تكثيف النشاط الدبلوماسي للتعريف بالقضية الجزائرية في المحافل الدولية (مؤتمر باندونغ 1955، الأمم المتحدة)، النشاط الإعلامي لتفنيد الدعاية الفرنسية وتأكيد شرعية الثورة (إذاعة صوت الجزائر، جريدة المجاهد)، المشاركة في المهرجانات العالمية (رياضية، ثقافية)، إنشاء الحكومة المؤقتة للجمهورية الجزائرية 1958، إنشاء جيش الحدود للتكفل بجلب الأسلحة والمؤونة من الخارج، إنشاء فدرالية جبهة التحرير في فرنسا (تعبئة المهاجرين لدعم الثورة).,الرد: التدخل الوطني في القضايا، إنشاء المؤسسات الوطنية، تعزيز الوحدة السياسية، وتوحيد الاحتكارات.,0.0,0.0,0.7028,2.0,1.0,2.53
lora_deepbac_model_DeepSeek,عرف الشخصية: عبان رمضان,(1920-1957)، مناضل في صفوف حربة الانتصار للحريات الديمقراطية، عضو في المنظمة الخاصة 1947، التحق بالثورة في 1955، شارك في التحضير لمؤتمر الصماد 1956، استشهد في 1957.,يبرهق في مؤتمر باندونغ عام 1956 كנציג للشعب الجزائري وymmetric لحركة عدم الانحياز، واشتهر بأمنة التحرير الوطني ضد الحلفاء في الجزائر وسوق التحرر الوطني.,0.0,0.25,0.719,1.0,2.0,3.69
lora_deepbac_model_DeepSeek,اشرح مصطلح تكنولوجيا المعلومات.,استخدام التطور التقني في المجال التكنولوجي (52.0) لنقل المعلومات (52.0) بسرعة فائقة وغزارة ربحا للجهد والوقت (5205).,تكنولوجية المعلومات: عملية تطورها العصر الثالث، تتميز بسرعة وعمق في التغيرات، تعتمدها الواردات عالمياً 4% في مؤتمر دولي روما عام 1995، وتعتمدهيئة الدول المتقدمة وتنافسها مع الدول المتواجدة (الولايات المتحدة الأمريكية).,0.0,0.0,0.673,1.0,3.0,4.97
lora_deepbac_model_DeepSeek,انطلاقا من الفقرة واعتمادا على ما درست اكتب مقالا جغرافيا تبين فيه مظاهر التكامل والاندماج داخل الاتحاد الأوروبي,مظاهر التكامل والاندماج داخل الاتحاد الأوروبي: إقامة سوق مشتركة، إنشاء عملة موحدة (اليورو)، حرية تنقل السلع والأشخاص والخدمات ورؤوس الأموال، سياسة زراعية مشتركة، مؤسسات مشتركة (البرلمان الأوروبي، المفوضية الأوروبية، محكمة العدل الأوروبية).,المظاهر: توحيد قيادتين، تنوع الأنظمة الاقتصادية، إlıoubالات رؤوسها ش最合适ون، اتساع السوق المشتركة، قوة تجارة عظمى، سيطرة lcoa على الأسواق الداخلية، تحديد الابتكارات المشترحة في كل من الدول الأعضاء، استفادة جميع دول الاتحاد من القوة الجماعية، وفرة العمل وال-studying و/or التكنولوجيا.,0.0,0.0,0.7203,2.0,2.0,6.74
lora_deepbac_model_DeepSeek,تعرف بالشخصية: جون كنيدي,رئيس الولايات المتحدة الأمريكية، عايش عدة أزمات أهمها أزمة كوبا 1962، واجه المعسكر الشرقي في صراع الحرب الباردة، دافع عن الزنوج وحارب التمييز العنصري، قام بسياسة غزو الفضاء والسباق العلمي مع الاتحاد السوفياتي، ساند الثورة الجزائرية، اغتيل في دالاس عام 1963.,مناهج فيتنام بعد الحرب العالمية الثانية: سياسة التخطيط، سياسات الاحتواء، سيادتеп.,0.0,0.0,0.6677,1.0,1.0,2.17
lora_deepbac_model_DeepSeek,اشرح مصطلح: سباق التسلح,سباق التسلح هو تنافس بين الولايات المتحدة والاتحاد السوفيتي خلال الحرب الباردة لتطوير أسلحة نووية وتقليدية بكميات هائلة، بهدف تحقيق التفوق العسكري.,"سباق الت"">${\text{} }$المنافسة العسكرية بين الولايات المتحدة والاتحاد السوفيتي لأوبيقتها على الوحدة اليدوية في الثورة الوطنية، بهدف تحقيق التحكم الذاتي على الأزمات النووية وتسهيل حرب التchied.",0.1142,0.0,0.7765,2.0,2.0,3.88
lora_deepbac_model_DeepSeek,ما هي أهم السياسات الحكومية لمواجهة التحديات الاقتصادية؟,السياسات: التنويع الاقتصادي، دعم القطاع الخاص، وتحسين مناخ الاستثمار.,"سياسة رأسمالية: دعم العملة وricianis, سيطرة على المؤسسات المالية، ضمان القرضيات، وتعزيز القيافة. سياسة استثمار: تنسيق الاستثمار في الأنشطة الصناعية والتجارية، تعزيز الكفاءةInside الاستثمار، وحماية حقوق الملكية. سياستثماري: تنظيم التجارة الداخلية، إنشاء منظماتvueyjyjv, وتعمل على التوحيد الاقتصادي. سيادتية: تنفيذ السياسات الدولية (مثل سياسات الاحتواء)، تعزي兹 الجودة، وتحسين الكفاءات. سيادة اجتماعية: تنمية التعليم والثقافة، بناء الصحة العامة، وتنمية العلاقات الاجتماعية. سيادات اجتماعية (استراتيجيات): تنمية الموارد البشرية (الهندسة والتكنولوجيا)، تنظем البحوث والتطوير، ودعم المساهمة الوطنية في التطور العالمي. سيadiaiit: تنافس الدول الصغيرة عن التفوق الاقتصادي والاقتصادي للدول الكبرى، مع التفاوض مع الثورة. سي systemd: تنويع الاقتصاد الوطني (الصناعي - الزراعي - الخصومي)، تنسيقات اقتصادية، وتنسيق الاقتصاد الوطني. سي自驾يit: حدة التفاصل بين الدول developed وdeveloping، مع الحفاظ على التقدم الداخلي. سيائدتية (من خلال سياساتها): تنسيقتر الأسواق، إحداث سوق السوق، وتنظيم الشراكات. سياغاتية: تحرير التبادل التجاري، بنية منظميات التجارة العالمية، و 支持 الاستثمارات. سياباتية (سياسية): تنظيف القضايا، مكافحة التضخم، وتحكم في الميزانية. سيabatic (اقتصادية): مكافح التزايد السروري، مساعدات على المؤ previews.",0.0,0.0,0.7276,1.0,2.0,24.34
lora_deepbac_model_DeepSeek,ما هي أهم الإصلاحات التشريعية في الجزائر؟,الإصلاحات: تحديث القوانين، تحسين البيئة القانونية، وحماية الحقوق.,الإصلاحات: تعزيز الشفافية، استعادة السيادة، وتعزيز الكفاءة.,0.0,0.0,0.8752,3.0,9.0,1.81
lora_deepbac_model_DeepSeek,اشرح مصطلح: الحرب الباردة,الحرب الباردة هي صراع أيديولوجي وسياسي وعسكري بين المعسكر الشرقي بقيادة الاتحاد السوفيتي والمعسكر الغربي بقيادة الولايات المتحدة الأمريكية، استمر من نهاية الحرب العالمية الثانية حتى انهيار الاتحاد السوفيتي عام 1991، وتميز بالسباق نحو التسلح والتنافس على مناطق النفوذ دون مواجهة عسكرية مباشرة.,الحرب البارد (1954-1962): صراع سياسي وأيديولوجي بين المعسكرين الشرقي (الاتحاد السوفيتي) والأجنبي (الولايات المتحدة).,0.0,0.0,0.7828,3.0,5.0,3.27
lora_deepbac_model_DeepSeek,اشرح مصطلح الشركات متعددة الجنسيات.,الشركات متعددة الجنسيات: شركات عمالقة ذات رؤوس أموال ضخمة وإمكانيات تكنولوجية هائلة، لها فروع في مختلف أنحاء العالم متعددة الوظائف والجنسيات، تسيطر على الأسواق العالمية ويتعدى نشاطها المجال الاقتصادي.,شركات متعدعة الجنسيات: شركات عمالقة طرحت في إطار مساهمتها في الاقتصاد العالمي وتعتمد سياسات اقتصادية خاصة الاحتواءات، وتشمل الشركات التي ت operative في أكثر من دولة.,0.0864,0.0,0.7549,4.0,3.0,3.83
lora_deepbac_model_DeepSeek,ما هي أهم الإصلاحات الجمركية في الجزائر؟,الإصلاحات: تبسيط الإجراءات، تحسين الكفاءة، ومكافحة التهريب.,الإصلاحات: تحسين السياسة الجمركienne، تعزيز التفاوض النفسي، وتعزيز الكفاءة.,0.0,0.0,0.8421,3.0,8.0,2.19
lora_deepbac_model_DeepSeek,أكمل الجدول: حدث توحيد الألمانيتين,تاريخه: 3 أكتوبر 1990,"- تاريخ: 3 نوفمبر 1949
- معركة عسكرية: حرب التحرير (1961)",0.0,0.4,0.7328,0.0,4.0,2.16
lora_deepbac_model_DeepSeek,ما هي أهم المعارك في الثورة الجزائرية؟,المعارك: معركة الجزائر، معركة سيدي فرج، معركة جبل الأبيض، ومعركة وادي زم.,الmathematics: 0,0.0,0.0,0.5912,1.0,1.0,0.84
lora_deepbac_model_DeepSeek,ما هي أهم الإصلاحات الصحية في الجزائر؟,الإصلاحات: توسيع التغطية، تحسين الخدمات، وتطوير البنية التحتية.,الإصلاحات: تحسين الخدمات، دعم الصحة، وتطوير البنية التحتية الصحية.,0.0,0.0,0.9309,7.5,9.5,1.59
lora_deepbac_model_DeepSeek,اشرح ما تحته خط في النص: التجارة الخارجية,التجارة الخارجية هي تبادل السلع والخدمات بين الدول، وتشمل الصادرات والواردات. في سياق النص، تعاني الدول النامية من علاقات تجارية غير متكافئة، حيث تصدر المواد الخام بأسعار منخفضة وتستورد السلع المصنعة بأسعار مرتفعة.,التجارة الخارجية: هي عملية تبادل السلع والأموال والخدمات بين البلدان.,0.0,0.0,0.7952,6.0,6.0,1.84
lora_deepbac_model_DeepSeek,اكتب مقالا جغرافيا تبين فيه الصعوبات الاقتصادية التي تواجه بلدان العالم المتخلف.,الصعوبات الاقتصادية التي تواجه بلدان العالم المتخلف: (لم تذكر في النص المقدم، ولكن بناءً على السياق العام، يمكن ذكر صعوبات مثل: ضعف البنية التحتية، نقص رؤوس الأموال، التبعية الاقتصادية، ضعف التصنيع، المديونية الخارجية، التخلف التكنولوجي، ضعف الموارد البشرية المؤهلة، عدم استقرار الأسواق العالمية للمواد الأولية).,الصعوبות: عدم توازن الاقتصادي بين المناطق، ضخامة التباين بين الدول المتخلقة والمتخلفة، صعوبة في تحقيق التنمية المستدامة، ضرورة الاعتماد على الاستثمارات الخارجية، وتحدياد الأموال.,0.0,0.0,0.7469,5.0,2.0,3.87
lora_deepbac_model_DeepSeek,عرف الشخصية التالية: هاري ترومان,رئيس الولايات المتحدة الأمريكية (1945-1953)، وافق على استخدام القنبلة الهيدروجينية على اليابان خلال الحرب العالمية الثانية، أحد أقطاب الحرب الباردة، وصاحب مبدأ حمل اسمه (مبدأ ترومان 1947)، وتدخل عسكريا في كوريا، وعرف بدعمه الشديد لليهود.,(1930-1961) رجل عسكري أمريكي (رئيس الولايات المتحدة 1945-10/1953). صاحب فكرة حركة عدم الانحياز عام 1897.,0.0,0.4444,0.6819,1.0,2.0,3.41
lora_deepbac_model_ALLaM,اشرح مصطلح: سيطرة الدولار,سيطرة الدولار على 65% من احتياطي صرف العملات.,سيطرة الدولار تعني هيمنة العملة الأمريكية على النظام المالي العالمي، حيث تستخدم الولايات المتحدة قوتها الاقتصادية والعسكرية لجعل الدولار عملة احتياطية رئيسية، مما يعزز دور الدولار في تحديد أسعار السلع العالمية وتمويل الديون الدولية.,0.0,0.0,0.7342,7.0,9.0,2.98
lora_deepbac_model_ALLaM,عرف بالشخصيات التالية: هاري ترومان,الرئيس الثالث والثلاثون للولايات المتحدة الأمريكية (1945-1953)، اشتهر بسياسة الاحتواء تجاه الاتحاد السوفيتي، وأعلن مبدأ ترومان لدعم اليونان وتركيا ضد الشيوعية، وأطلق مشروع مارشال لإعادة إعمار أوروبا.,رئيس الولايات المتحدة الأمريكية (32) (1945-1952)، أحد قادة الحلفاء في الحرب العالمية الثانية، أمر بقنبلة هيروشيما وناجازاكي بالقنبلة الذرية أثناء الحرب، صاحب مبدأ يحمل اسمه 1990، أحد مؤسسي الأمم المتحدة، كان له دور بارز في بداية الحرب الباردة.,0.0,0.3333,0.7274,6.0,7.5,4.76
lora_deepbac_model_ALLaM,ما هي أهم القطاعات الاقتصادية في الجزائر؟,القطاعات: النفط والغاز، الزراعة، الصناعة، والخدمات.,القطاعات: النفط، الغاز الطبيعي، الزراعة (قمح)، الصناعة التحويلية، والخدمات.,0.0,0.0,0.9221,10.0,9.5,1.68
lora_deepbac_model_ALLaM,حدد تاريخ هجوم جيش التحرير الوطني على الشمال القسنطيني,31/11/1955,5-4-1955,0.0,0.3333,0.8222,1.0,2.0,0.88
lora_deepbac_model_ALLaM,ما هي أهداف منظمة الأمم المتحدة؟,أهداف منظمة الأمم المتحدة تشمل: الحفاظ على السلم والأمن الدوليين، تنمية العلاقات الودية بين الأمم، تحقيق التعاون الدولي في حل المشكلات الاقتصادية والاجتماعية والثقافية والإنسانية، وتعزيز احترام حقوق الإنسان.,تحقيق السلم والأمن الدوليين، تنظيم العلاقات الدولية، حفظ السلام، مكافحة الأمراض المستعصية مثل الإيدز، تخفيف أعباء الديون عن الدول الفقيرة، حماية حقوق الإنسان، وتطوير التعاون الاقتصادي بين دول العالم.,0.0,0.0,0.7799,6.5,8.0,2.85
